원조닭한마리,,3
원조닭한마리,김치만 맛있었음 5개줬는데 거짓말안치고 중국산 김치 쓰는듯,1
원조닭한마리,맛있음!! 사람이 너무많음!!,4
원조닭한마리,,5
원조닭한마리,웬만하면 후기안쓰는데.. 가격비싸. 맛도별로. 김치는 중국산 김치 맛 나고. 서빙 여자분들 불친절하고. 다신 안간다.,1
원조닭한마리,여긴 찐이다.,5
원조닭한마리,맛있어요 국물도 깔끔하고 새콤한 양념장도 특별해요 사장님도 친절하시고 ㅎㅎ 굳굳,5
원조닭한마리,"매장 누린내, 음식 닭비린내,건성인 직원  부실한 밑반찬  정말 맛있어서 가시는건가요? 대충먹고 저녁 다시 먹으러가요",1
원조닭한마리,너무 별로에요. 약간 닭비린내도나고  가격도 비싼데 특별한 맛도 아니에요ㅜㅠ 왜 평점 높은지 모르겠어요ㅜ,1
원조닭한마리,확실히 원조라고 맛은 있다. 사람도 매우 많고. 근데 양이 생각보다 많이 적다. 많이 먹는 것도 아닌데 닭한마리에 칼국수랑 죽까지 끓여먹고 배가 찰 정도였으니까.,4
원조닭한마리,무난무난 맛있어요 국물이 짱임,4
원조닭한마리,남편이 추억맛집이라고 데리고 가줬는데 너무 맛있어요!! 진짜 국물이 예술이에요,5
원조닭한마리,간만에 가족과함께 갔는데 여전히 맛있고 사람많음,5
원조닭한마리,,3
원조닭한마리,닭한마리를 시켰지만 하얀 닭도리탕이... 잘 먹고 갑니다,2
원조닭한마리,어릴때부터 자주 갔던 집이에요~ 추억의 맛!!,4
원조닭한마리,개인적으론 별로임 특별한거 하나없는데.. 약간 닭누린내도 났고 맛집은 절대아님..,2
원조닭한마리,원조라 해서 가봣는데 아류보다 별로임.  교대나 충무로보다 별로였습니다.  국물은 후추맛이 너무 강하고 육수도 상대적으로 맹한 느낌. 육수 맹해서 졸여먹으려 했더니 불도 세게 못키게 함. 그럴 거면 아예 완전조리로 주시던가..,2
원조닭한마리,오랜만에 먹어보니 맛있네요 담백해요^^,4
원조닭한마리,저의 최애 맛집 중 하나!,5
원조닭한마리,굿굿,4
원조닭한마리,훌륭한 식당입니다. 1994년부터라니까 벌써 26년된 식당이네요. 한 끼 잘 먹고 갑니다.,4
원조닭한마리,예전에 비해서 가격도 너무 비싸지고 맛도 그럭저럭ㅠㅠ 예전에 정말 괜찮았는데 아쉬워요,2
원조닭한마리,"국물 예술~~!!  소스, 칼국수, 마지막 죽까지 너무 만족 스럽다~ 어떻게...닭고기 냄새만 좀 잡을 수 없나~ 미리 삶아 놔서 그런건지 냄새에 민감한 사람으로서  너~~무 아쉬운 부분!!",4
원조닭한마리,열시도 안됐는데 영업시간 다됐다면서 그만 가라네요. 테이블도 마니 비어있고 옆테이블에 금방 손님받은거 봤어요. 기분나쁘네요. ,1
원조닭한마리,맛있어요!!,5
원조닭한마리,,4
원조닭한마리,맛있죠^^ 맛은 있어요~ 맛만 있어요. 맛 때문에 20년이 넘도록 다니고 있죠. 저엉말~~~~~맛은 있어요.,5
원조닭한마리,간만에 제대로된 닭한마리 먹었네요. 만족~!,4
